System Time,q_des,q0,q1,q2,q3,q4,q5,T_des,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,T_target,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,worldFrame,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,ECM_T_PSM_RCM,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,psm3_T_cam,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,offset,x,y,z,IK Trigered,ECM_T_PSM3,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22
10:08:35.805985,,-0.08314294212390107,-0.5784867514095353,0.10020451329,-3.2650829148463396,-0.5176519267571517,1.0890634883712598,,0.15008307802672047,0.5107582512517355,-0.3467227281693592,0.08411543381533376,-0.49468300072580573,-0.8649932500239356,0.7245843466304639,0.6262659280253774,-0.28769517203564005,0.6840337114588446,-0.602560964706,0.4111181890897224,,0.0029199616111822164,0.2628884734297914,-0.08684582857204634,-0.832079734335986,0.5488124353083392,0.08030085029615204,-0.4984817334863947,-0.8034169247163893,0.3256335462750405,0.24322680174634137,0.2309245676193633,0.9420799153904388,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,True,,0.15008307802672047,0.5107582512517355,-0.3467227281693592,0.08430570435508325,-0.47524207714844646,-0.8758067802436925,0.7108639397701484,0.6446022579691777,-0.2813545595072179,0.698258553365196,-0.5988596639686695,0.3921761026932622
10:08:37.684275,,-0.083312842247134,-0.5797532796009082,0.10023043909000001,-3.2665506505517032,-0.5191274829101262,1.0894668920093362,,0.15008735643343768,0.5106983943987546,-0.3468713398278875,0.08510345228293692,-0.4949123680655936,-0.8647653730031241,0.7245739378791424,0.6264880618614183,-0.2872373876977657,0.6839225182400698,-0.6021415583405867,0.4119169003128315,,0.0029031565870727078,0.26288345239066857,-0.0868467248361995,-0.8320328687275793,0.5488763434121027,0.08034956825781496,-0.4985007848310301,-0.8033562408544599,0.3257540574156228,0.24334802444134368,0.23098376142589191,0.942034091250282,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.15008735643343768,0.5106983943987546,-0.3468713398278875,0.0854709559160487,-0.4754666174523191,-0.8755719338713678,0.7109479490628087,0.6447788487274837,-0.28073697646916174,0.6980313240952606,-0.5984912129030056,0.39314188108074477
10:08:37.697150,,-0.083312842247134,-0.5797610023337824,0.10023043909000001,-3.2665506505517032,-0.5191274829101262,1.0894668920093362,,0.15008735643343768,0.5106983943987546,-0.3468713398278875,0.08508225174300482,-0.4948964132566436,-0.8647765899838232,0.7245741687566399,0.6264869581706567,-0.28723921252625323,0.6839249113820641,-0.6021558198571093,0.41189207834486025,,0.0028975548431555555,0.2628817787190542,-0.08684702364320679,-0.832017246864604,0.5488976477167434,0.08036580548097584,-0.49850713267156166,-0.8033360125691116,0.3257942280410656,0.24338843241854835,0.23100349062367362,0.9420188149523637,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.15008735643343768,0.5106983943987546,-0.3468713398278875,0.0854709559160487,-0.4754666174523191,-0.8755719338713678,0.7109479490628087,0.6447788487274837,-0.28073697646916174,0.6980313240952606,-0.5984912129030056,0.39314188108074477
10:08:37.708796,,-0.08332056498000824,-0.5797687250666567,0.10023043909000001,-3.2665506505517032,-0.5191274829101262,1.0894668920093362,,0.15008649309482494,0.5106977168751865,-0.34687350854035925,0.08509892928918511,-0.49490136482755775,-0.8647721152567623,0.7245739871630312,0.6264903505331971,-0.2872322715424909,0.6839230288274417,-0.6021482207734342,0.4119063132059108,,0.0028947539582193575,0.26288094188476446,-0.08684717305651474,-0.832009435934334,0.5489083001696988,0.08037392369929502,-0.4985103061028875,-0.8033258983643051,0.32581431339977124,0.2434086364844389,0.23101335483424054,0.9420111765063047,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.15008649309482494,0.5106977168751865,-0.34687350854035925,0.08546977282752491,-0.4754602050656427,-0.875575531483006,0.7109367057027851,0.644790219419199,-0.28073933359223613,0.6980429201827656,-0.5984840568806142,0.39313218545730755
10:08:37.721669,,-0.08332056498000824,-0.5797764477995309,0.10023043909000001,-3.2667603270810406,-0.5191274829101262,1.0894668920093362,,0.1500876484166701,0.5106973169530548,-0.34687465106358756,0.08502511297405384,-0.4948553396875838,-0.8648057139880816,0.7245747893629639,0.626483344289088,-0.28724552903043876,0.6839313597016633,-0.602193334495697,0.4118265206438117,,0.002893073423104799,0.26288043978467623,-0.08684726270763687,-0.8320047493765617,0.5489146917376754,0.08037879450444291,-0.4985122100052223,-0.803319829821539,0.32582636462970954,0.24342075894870546,0.23101927323631705,0.9420065933435975,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.1500876484166701,0.5106973169530548,-0.34687465106358756,0.0856507807318305,-0.4755442432183944,-0.8755122023717732,0.7109223063839084,0.644825373149368,-0.2806950523763514,0.6980353988486632,-0.5983794037937995,0.39330480682234836
10:08:37.734296,,-0.08332828771288246,-0.5798227841967762,0.10023043909000001,-3.2667603270810406,-0.5191274829101262,1.0894668920093362,,0.15008678510246445,0.510696639479739,-0.34687681979058377,0.08502695504155208,-0.4948491255816768,-0.8648090886591167,0.7245747693929792,0.6264859645811119,-0.28723986447215993,0.6839311518533666,-0.602195714941516,0.4118233849972625,,0.002886351251500277,0.2628784313879653,-0.08684762133565574,-0.8319860031483944,0.5489402587311049,0.0803982767812075,-0.498519824441105,-0.8032955555013573,0.3258745696598246,0.24346924899126351,0.23104294591264554,0.9419882599797286,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.15008678510246445,0.510696639479739,-0.34687681979058377,0.08564959738969594,-0.47553783132234445,-0.8755158007987205,0.7109110621981519,0.6448367423869904,-0.2806974123714536,0.6980469956322988,-0.5983722475591394,0.3932951121483024
10:08:37.746260,,-0.08332056498000824,-0.5798536751282731,0.10023173538,-3.2667603270810406,-0.5191274829101262,1.0894668920093362,,0.1500869710091637,0.5106952612176978,-0.34688107163632864,0.08507853474818271,-0.49486011677875885,-0.8647977264926264,0.7245742092013185,0.626497890975699,-0.2872152641544057,0.6839253309283011,-0.6021742749609239,0.4118644003672805,,0.002886351251500277,0.2628784313879653,-0.08684762133565574,-0.8319860031483944,0.5489402587311049,0.0803982767812075,-0.498519824441105,-0.8032955555013573,0.3258745696598246,0.24346924899126351,0.23104294591264554,0.9419882599797286,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.1500869710091637,0.5106952612176978,-0.34688107163632864,0.0856481871963588,-0.4755385119295973,-0.8755155690801631,0.710889655889945,0.6448544857081213,-0.28071086443312115,0.6980689687836389,-0.5983525849646669,0.39328602681438884
10:08:37.758974,,-0.08332056498000824,-0.57988456605977,0.10023173538,-3.2667603270810406,-0.5192616243785785,1.089534874905548,,0.1500883851027961,0.5106922669366175,-0.346888177859479,0.08514153563486376,-0.4948928559573108,-0.8647727909874093,0.7245735223154126,0.6265060446041456,-0.2871992110607277,0.6839182185533395,-0.6021388853054456,0.4119279465318443,,0.0028865717757438646,0.26287869864795643,-0.08684769426293969,-0.8319853894239426,0.548941090564084,0.0803989481935783,-0.4985202262922189,-0.8032949258142845,0.3258755071093977,0.24347052338604447,0.23104315883956916,0.9419878783672262,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.1500883851027961,0.5106922669366175,-0.346888177859479,0.08564367388871877,-0.475497287986202,-0.8755384002090427,0.7109414880399467,0.6448220289164601,-0.2806541494573107,0.6980167345460919,-0.5984203206290936,0.3932756770406529
10:08:37.771777,,-0.08332056498000824,-0.5799154569912669,0.10023173538,-3.2667603270810406,-0.5193957658470306,1.0896028578017594,,0.15008869392571844,0.5106919094884237,-0.3468914280043708,0.0851470034689685,-0.4949308882336071,-0.8647504863673383,0.7245734625631723,0.6264950644830252,-0.28722331299465437,0.6839176011402766,-0.6021190497324451,0.41195796484571906,,0.002886792299954981,0.26287896590796556,-0.08684776719023696,-0.8319847756989385,0.5489419223974495,0.08039961960496513,-0.4985206281422777,-0.8032942961273435,0.3258764445595115,0.24347179778089195,0.23104337176537204,0.9419874967543211,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.15008869392571844,0.5106919094884237,-0.3468914280043708,0.0856400902142232,-0.4754486292753145,-0.8755651751116673,0.7110141783186211,0.6447743129019234,-0.28057962087747745,0.6979431303322616,-0.5985103895022019,0.39326924680163694
10:08:37.784717,,-0.08332056498000824,-0.5800004070528834,0.10023173538,-3.2667603270810406,-0.5193957658470306,1.0896028578017594,,0.15008797013207395,0.5106901989525078,-0.3468967858143152,0.08521295548166076,-0.4949520522560538,-0.8647318764713149,0.72457274011194,0.6265079558583434,-0.2871970151879636,0.6839101523626885,-0.6020882387272823,0.4120153592786603,,0.0028867922999549814,0.2628789659079655,-0.08684776719023696,-0.8319847756989385,0.5489419223974495,0.08039961960496514,-0.4985206281422777,-0.8032942961273435,0.3258764445595114,0.24347179778089192,0.23104337176537199,0.9419874967543211,,-0.09313313826961853,0.6116128384143904,1.1857929561149692,0.9962021599755055,0.04609329572830634,-0.0738692395320274,0.08439912666732821,-0.7197231663426924,0.6891120019615399,-0.021401959674979064,-0.6927293641232136,-0.7208800067996883,,0.1537921216916865,0.648458205504974,-0.3913872823048037,0.9991445169087859,0.02009789640803572,-0.03614289544406837,0.03885326181686473,-0.7555567849330441,0.6539299418040376,-0.014165393651401086,-0.6547747851754935,-0.7556912877101912,,0.0,0.0,0.045,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,-0.02272741252427273,-0.20692986320293497,0.201818166158785,False,,0.15008797013207395,0.5106901989525078,-0.3468967858143152,0.08563785011106109,-0.4754427271494669,-0.8755685991565901,0.7109868830717653,0.6447989944554356,-0.2805920684002945,0.6979712105296693,-0.5984884877338387,0.3932527422940767
