PC Time,Left Frame #,Left Aruco ID,leftcam_T_aruco,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,aruco_T_ring_left,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,u_left,v_left,Right Frame #,Right Aruco ID,rightcam_T_aruco,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,aruco_T_ring_right,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,u_right,v_right
""
mtx_left,387.3647766113281,0.0,247.6525421142578,0.0,385.7626037597656,187.99069213867188,0.0,0.0,1.0
dist_left,0.19200356304645538,-0.5552008152008057,0.0034792395308613777,-0.0017537083476781845,0.4684436619281769
mtx_right,396.16546630859375,0.0,250.86488342285156,0.0,395.5692138671875,193.99925231933594,0.0,0.0,1.0
dist_right,0.26821792125701904,-0.8073622584342957,0.005358402151614428,-0.005431777331978083,0.7776136994361877
""
10:45:23.211489,1,3,,0.012259359887208127,0.003733529777007433,0.09230389892482216,0.9585476873116006,0.13179715143096976,-0.2526179764471721,-0.12554861807950438,-0.6005175401658004,-0.7896937561178656,-0.25578091337687553,0.7886749614561744,-0.5590777490870058,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,253.7242217069894,214.70493802724528,1,3,,-0.014715834647839605,0.002137399376548906,0.09582125893249988,0.9652166617086931,0.16120029200454752,-0.20584280851556347,-0.055300509454227986,-0.643620938903983,-0.763343920299663,-0.2555360045356215,0.7481754826656671,-0.6123191957826954,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,154.38970781808644,209.97243931483285
10:45:23.279482,3,3,,0.012272575462478385,0.003725215020559286,0.09264281400211696,0.9557218664458548,0.12624966160428835,-0.26581334981910665,-0.13756489431519398,-0.6068377572553767,-0.7828306561583508,-0.26013768248622043,0.7847349611901251,-0.5626005926380021,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,254.0870439228904,214.89441915718032,2,3,,-0.014710520402266091,0.0018585122671487882,0.09373693126284964,0.9717873484334377,0.1173503312066318,-0.20459288646089827,-0.09151060117877324,-0.6118908076489857,-0.7856306061926123,-0.21738251837856626,0.7821883016770103,-0.5838889461387555,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,150.65290717745012,212.3556997283178
10:45:23.339128,4,3,,0.011868952897547056,0.0032291697455365163,0.09260300348003349,0.9564501861563502,0.12185149215642364,-0.265245650785712,-0.1375122373961682,-0.6134499599717181,-0.7776692942228061,-0.2574750977624491,0.7802764641266263,-0.569978257096064,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,252.44371876031116,212.8046305615896,3,3,,-0.01478693983929912,0.0016215419253314599,0.0948220738398229,0.9682191891316131,0.13803013647571435,-0.20856481779489378,-0.07349798163320784,-0.6400630319288598,-0.7647989028848563,-0.2390599265731633,0.7558220667475454,-0.6095763733317612,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,152.43387056813447,209.23445759058325
10:45:23.376241,5,3,,0.012588954632378024,0.002967235824572439,0.09505583358662682,0.9520762511477501,0.1466903847604407,-0.2683891633790016,-0.10733086018361976,-0.6614540618228648,-0.7422658624443658,-0.28641036722278546,0.7355001394404135,-0.614010298309761,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,255.68835070794697,208.01517464353861,4,3,,-0.014846658446144764,0.0015392740072444637,0.09410236840962617,0.9746350294526716,0.11987868928981527,-0.18898587041878534,-0.07704850933303682,-0.6130860782557653,-0.7862499525332403,-0.21011921990466967,0.7808678252451701,-0.5882986936272522,,-0.01343000028282404,0.005190230906009674,-0.0061240000650286674,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,149.9335700278134,210.32233014564378
